id,pred
2015_1107_1112,0.098110772006197
2015_1107_1116,0.25706863931960944
2015_1107_1124,0.2876333367582198
2015_1107_1125,0.5402127297256178
2015_1107_1129,0.4071730542771941
2015_1107_1138,0.4125491548848597
2015_1107_1139,0.3348280676701063
2015_1107_1140,0.3475577105264992
2015_1107_1153,0.3975975826401032
2015_1107_1157,0.608361919534079
2015_1107_1172,0.37108280492073986
2015_1107_1173,0.31842269497680276
2015_1107_1181,0.10630536615906594
2015_1107_1186,0.5009814084325791
2015_1107_1207,0.35065843034299715
2015_1107_1208,0.37517940161392377
2015_1107_1209,0.45865322750966486
2015_1107_1211,0.10703105591025608
2015_1107_1214,0.7610475949733815
2015_1107_1217,0.5231553679869719
2015_1107_1231,0.42011877538081704
2015_1107_1234,0.365281697577697
2015_1107_1235,0.26579399734447073
2015_1107_1242,0.18209941116748102
2015_1107_1246,-0.01358141230342036
2015_1107_1248,0.6097131227502426
2015_1107_1257,0.2697746516759024
2015_1107_1261,0.3851564757947313
2015_1107_1264,0.6085710506384211
2015_1107_1268,0.23058851261240626
2015_1107_1277,0.2784010542582768
2015_1107_1279,0.4127403986126673
2015_1107_1295,0.5653648787592828
2015_1107_1301,0.38378230598769697
2015_1107_1308,0.5405314533898057
2015_1107_1314,0.227672592562221
2015_1107_1316,0.6065513250090927
2015_1107_1318,0.4715256934373475
2015_1107_1320,0.20975602805012206
2015_1107_1323,0.1747899996189457
2015_1107_1326,0.30176044133877317
2015_1107_1328,0.31047659463006577
2015_1107_1329,0.4655343440307125
2015_1107_1332,0.31003222382644824
2015_1107_1344,0.332601578503581
2015_1107_1345,0.3871492152794775
2015_1107_1352,0.6141949484530084
2015_1107_1361,0.3133195565946024
2015_1107_1372,0.38838636029106205
2015_1107_1374,0.2911914577192436
2015_1107_1385,0.3972064770009583
2015_1107_1400,0.3837915723579952
2015_1107_1411,0.5852782855316582
2015_1107_1412,0.5628379389286436
2015_1107_1414,0.5449767157835645
2015_1107_1417,0.40648284988590744
2015_1107_1428,0.2977338237829259
2015_1107_1433,0.26328250295315997
2015_1107_1434,0.40393036949868355
2015_1107_1437,0.07736446019574661
2015_1107_1438,0.13605406295296152
2015_1107_1452,0.29180362640941887
2015_1107_1455,0.2479982878059595
2015_1107_1458,0.06002864985222173
2015_1107_1459,0.40649602860332457
2015_1107_1461,0.4437162838657727
2015_1107_1462,0.35595292480851043
2015_1112_1116,0.6593884932866856
2015_1112_1124,0.6899531907252959
2015_1112_1125,0.942532583692694
2015_1112_1129,0.8094929082442702
2015_1112_1138,0.8148690088519359
2015_1112_1139,0.7371479216371826
2015_1112_1140,0.7498775644935753
2015_1112_1153,0.7999174366071794
2015_1112_1157,1.010681773501155
2015_1112_1172,0.773402658887816
2015_1112_1173,0.720742548943879
2015_1112_1181,0.5086252201261422
2015_1112_1186,0.9033012623996552
2015_1112_1207,0.7529782843100734
2015_1112_1208,0.7774992555809999
2015_1112_1209,0.8609730814767411
2015_1112_1211,0.5093509098773322
2015_1112_1214,1.1633674489404577
2015_1112_1217,0.9254752219540481
2015_1112_1231,0.8224386293478931
2015_1112_1234,0.7676015515447732
2015_1112_1235,0.6681138513115469
2015_1112_1242,0.5844192651345572
2015_1112_1246,0.38873844166365573
2015_1112_1248,1.0120329767173186
2015_1112_1257,0.6720945056429786
2015_1112_1261,0.7874763297618075
2015_1112_1264,1.0108909046054972
2015_1112_1268,0.6329083665794825
2015_1112_1277,0.680720908225353
2015_1112_1279,0.8150602525797435
2015_1112_1295,0.9676847327263589
2015_1112_1301,0.7861021599547731
2015_1112_1308,0.9428513073568818
2015_1112_1314,0.6299924465292972
2015_1112_1316,1.0088711789761688
2015_1112_1318,0.8738455474044238
2015_1112_1320,0.6120758820171983
2015_1112_1323,0.5771098535860218
2015_1112_1326,0.7040802953058494
2015_1112_1328,0.712796448597142
2015_1112_1329,0.8678541979977887
2015_1112_1332,0.7123520777935244
2015_1112_1344,0.7349214324706572
2015_1112_1345,0.7894690692465537
2015_1112_1352,1.0165148024200845
2015_1112_1361,0.7156394105616786
2015_1112_1372,0.7907062142581383
2015_1112_1374,0.6935113116863197
2015_1112_1385,0.7995263309680345
2015_1112_1400,0.7861114263250712
2015_1112_1411,0.9875981394987343
2015_1112_1412,0.9651577928957198
2015_1112_1414,0.9472965697506407
2015_1112_1417,0.8088027038529837
2015_1112_1428,0.700053677750002
2015_1112_1433,0.6656023569202362
2015_1112_1434,0.8062502234657598
2015_1112_1437,0.47968431416282276
2015_1112_1438,0.5383739169200377
2015_1112_1452,0.6941234803764951
2015_1112_1455,0.6503181417730357
2015_1112_1458,0.46234850381929793
2015_1112_1459,0.8088158825704008
2015_1112_1461,0.8460361378328489
2015_1112_1462,0.7582727787755866
2015_1116_1124,0.5309953234118835
2015_1116_1125,0.7835747163792817
2015_1116_1129,0.6505350409308578
2015_1116_1138,0.6559111415385235
2015_1116_1139,0.5781900543237701
2015_1116_1140,0.5909196971801629
2015_1116_1153,0.640959569293767
2015_1116_1157,0.8517239061877426
2015_1116_1172,0.6144447915744036
2015_1116_1173,0.5617846816304666
2015_1116_1181,0.34966735281272976
2015_1116_1186,0.7443433950862428
2015_1116_1207,0.594020416996661
2015_1116_1208,0.6185413882675875
2015_1116_1209,0.7020152141633287
2015_1116_1211,0.35039304256391984
2015_1116_1214,1.004409581627045
2015_1116_1217,0.7665173546406356
2015_1116_1231,0.6634807620344807
2015_1116_1234,0.6086436842313607
2015_1116_1235,0.5091559839981344
2015_1116_1242,0.4254613978211448
2015_1116_1246,0.22978057435024335
2015_1116_1248,0.8530751094039063
2015_1116_1257,0.5131366383295661
2015_1116_1261,0.628518462448395
2015_1116_1264,0.8519330372920848
2015_1116_1268,0.47395049926607
2015_1116_1277,0.5217630409119406
2015_1116_1279,0.6561023852663311
2015_1116_1295,0.8087268654129465
2015_1116_1301,0.6271442926413607
2015_1116_1308,0.7838934400434694
2015_1116_1314,0.47103457921588476
2015_1116_1316,0.8499133116627564
2015_1116_1318,0.7148876800910113
2015_1116_1320,0.4531180147037858
2015_1116_1323,0.41815198627260947
